Source,Target,Area,AreaA,AreaB
20201003410075.0,20211003410075.0,6350.519185693921,0.9999999999999999,0.9999999999999999
20201003410001.0,20211003410001.0,32153.735954514654,1.0000000000000002,1.0000000000000002
20201003410026.0,20211003410026.0,27618.376778713147,0.9999999999999999,0.9999999999999999
20201003420060.0,20211003420060.0,22488.912248404064,1.0000000000000002,1.0000000000000002
20201003420044.0,20211003420044.0,30661.7539237169,1.0,1.0
20201003420065.0,20211003420065.0,6433.992759200819,1.0,1.0
20201003430001.0,20211003430001.0,81836.13126566703,1.0,1.0
20201003430043.0,20211003430043.0,17801.248328629335,0.9999999999999998,0.9999999999999998
20201003430060.0,20211003430060.0,2583.33280891344,1.0,1.0
20201003430062.0,20211003430062.0,2574.003634674258,1.0,1.0
20201003430063.0,20211003430063.0,2508.5147394717465,0.9999999999999998,0.9999999999999998
20201003430065.0,20211003430065.0,3054.7021607021848,0.9999999999999999,0.9999999999999999
20201003430050.0,20211003430050.0,20786.79956616144,1.0,1.0
20201003430070.0,20211003430070.0,2081.1268476764444,1.0,1.0
20201003437501.0,20211003437501.0,12829.97918447462,1.0000000000000002,1.0000000000000002
20201003430061.0,20211003430061.0,2688.403023426951,1.0,1.0
20201003430066.0,20211003430066.0,2142.6518046969195,1.0,1.0
20201003430067.0,20211003430067.0,2379.1115630737213,1.0,1.0
20201003430068.0,20211003430068.0,11417.102672418387,1.0,1.0
20201003440001.0,20211003440001.0,95058.17530222816,1.0000000000000002,1.0000000000000002
20201003440010.0,20211003440010.0,5438.764286071536,0.9999999999999998,0.9999999999999998
20201003440068.0,20211003440068.0,3299.155208979593,1.0,1.0
20201003440069.0,20211003440069.0,3086.0123849689076,1.0000000000000002,1.0000000000000002
20201003440072.0,20211003440072.0,4153.166434371347,1.0,1.0
20201003440073.0,20211003440073.0,4632.629441702543,1.0000000000000002,1.0000000000000002
20201003440041.0,20211003440041.0,5516.082563768411,1.0,1.0
20201003440043.0,20211003440043.0,2395.755456019898,1.0,1.0
20201003440044.0,20211003440044.0,4349.052101553227,1.0,1.0
20201003440060.0,20211003440060.0,19861.01197346251,1.0,1.0
20201003440063.0,20211003440063.0,2752.45150542369,1.0000000000000002,1.0000000000000002
20201003440064.0,20211003440064.0,2904.4201776535274,1.0,1.0
20201003440065.0,20211003440065.0,2611.2191369753245,1.0,1.0
20201003440066.0,20211003440066.0,2507.1685245415974,1.0,1.0
20201003440076.0,20211003440076.0,5033.725008265551,1.0,1.0
20201003440152.0,20211003440152.0,2623.246000481669,1.0,1.0
20201003440154.0,20211003440154.0,3640.1706604444394,1.0000000000000002,1.0000000000000002
20201003440171.0,20211003440171.0,2567.4821283368437,1.0,1.0
20201003440046.0,20211003440046.0,2760.7971465558476,0.9999999999999999,0.9999999999999999
20201003440053.0,20211003440053.0,7261.6652429054375,1.0,1.0
20201003440067.0,20211003440067.0,2576.076410821912,1.0,1.0
20201003440138.0,20211003440138.0,1785.9426170574984,1.0,1.0
20201003440139.0,20211003440139.0,4143.214559021011,1.0,1.0
20201003440145.0,20211003440145.0,2646.5351926314725,1.0,1.0
20201003440157.0,20211003440157.0,1482.2443986720482,1.0,1.0
20201003440158.0,20211003440158.0,1279.5684902838716,1.0,1.0
20201003440168.0,20211003440168.0,2578.8832776306513,1.0,1.0
20201003440169.0,20211003440169.0,2660.7203589260625,1.0,1.0
20201003440170.0,20211003440170.0,2655.8587164062073,1.0,1.0
20201003440172.0,20211003440172.0,1476.5527575661479,1.0,1.0
20201003440173.0,20211003440173.0,3238.60028541917,1.0,1.0
20201003447501.0,20211003447501.0,10296.177801885187,0.9999999999999998,0.9999999999999998
20201003440013.0,20211003440013.0,10530.637368488566,1.0,1.0
20201003440017.0,20211003440017.0,5341.132439115156,1.0000000000000002,1.0000000000000002
20201003440040.0,20211003440040.0,1046.9939339104012,1.0,1.0
20201003440054.0,20211003440054.0,2882.2641656451287,1.0,1.0
20201003440056.0,20211003440056.0,3957.188582744733,1.0,1.0
20201003440146.0,20211003440146.0,2579.0883763019306,1.0000000000000002,1.0000000000000002
20201003440147.0,20211003440147.0,2649.773122892585,1.0,1.0
20201003440148.0,20211003440148.0,2779.9451900337986,1.0000000000000002,1.0000000000000002
20201003440149.0,20211003440149.0,2788.754936749211,1.0,1.0
